Stock ,Model ,Age,Maturity
HG,AM1,2,0.037656865
HG,AM1,3,0.156490496
HG,AM1,4,0.467969573
HG,AM1,5,0.806585801
HG,AM1,6,0.951857729
HG,AM1,7,1.0
HG,AM1,8,1.0
HG,AM1,9,1.0
HG,AM1,10,1.0
HG,AM2,2,0.040734495
HG,AM2,3,0.164364296
HG,AM2,4,0.476736191
HG,AM2,5,0.808433382
HG,AM2,6,0.951332353
HG,AM2,7,1.0
HG,AM2,8,1.0
HG,AM2,9,1.0
HG,AM2,10,1.0
PRD,AM1,2,0.04387371
PRD,AM1,3,0.273613159
PRD,AM1,4,0.755624288
PRD,AM1,5,0.962095559
PRD,AM1,6,0.995223464
PRD,AM1,7,1.0
PRD,AM1,8,1.0
PRD,AM1,9,1.0
PRD,AM1,10,1.0
PRD,AM2,2,0.045529719
PRD,AM2,3,0.302020616
PRD,AM2,4,0.796959832
PRD,AM2,5,0.972681586
PRD,AM2,6,0.996913393
PRD,AM2,7,1.0
PRD,AM2,8,1.0
PRD,AM2,9,1.0
PRD,AM2,10,1.0
CC,AM1,2,0.039287456
CC,AM1,3,0.48216447
CC,AM1,4,0.954956203
CC,AM1,5,0.99793268
CC,AM1,6,1.0
CC,AM1,7,1.0
CC,AM1,8,1.0
CC,AM1,9,1.0
CC,AM1,10,1.0
CC,AM2,2,0.043032915
CC,AM2,3,0.508713647
CC,AM2,4,0.959748508
CC,AM2,5,0.998181985
CC,AM2,6,1.0
CC,AM2,7,1.0
CC,AM2,8,1.0
CC,AM2,9,1.0
CC,AM2,10,1.0
SOG,AM1,2,0.050303531
SOG,AM1,3,0.502460625
SOG,AM1,4,0.950628628
SOG,AM1,5,0.997283427
SOG,AM1,6,1.0
SOG,AM1,7,1.0
SOG,AM1,8,1.0
SOG,AM1,9,1.0
SOG,AM1,10,1.0
SOG,AM2,2,0.062722816
SOG,AM2,3,0.565653262
SOG,AM2,4,0.962040336
SOG,AM2,5,0.99797655
SOG,AM2,6,1.0
SOG,AM2,7,1.0
SOG,AM2,8,1.0
SOG,AM2,9,1.0
SOG,AM2,10,1.0
WCVI,AM1,2,0.039287456
WCVI,AM1,3,0.48216447
WCVI,AM1,4,0.954956203
WCVI,AM1,5,0.99793268
WCVI,AM1,6,1.0
WCVI,AM1,7,1.0
WCVI,AM1,8,1.0
WCVI,AM1,9,1.0
WCVI,AM1,10,1.0
WCVI,AM2,2,0.043032915
WCVI,AM2,3,0.508713647
WCVI,AM2,4,0.959748508
WCVI,AM2,5,0.998181985
WCVI,AM2,6,1.0
WCVI,AM2,7,1.0
WCVI,AM2,8,1.0
WCVI,AM2,9,1.0
WCVI,AM2,10,1.0
