Year,Harvest,Biomass,Region
1951,0,0,A27
1952,0,0,A27
1953,0,0,A27
1954,0,0,A27
1955,0,0,A27
1956,0,0,A27
1957,0,0,A27
1958,0,0,A27
1959,0,0,A27
1960,0,0,A27
1961,0,0,A27
1962,0,0,A27
1963,0,0,A27
1964,0,0,A27
1965,0,0,A27
1966,0,0,A27
1967,0,0,A27
1968,0,0,A27
1969,0,0,A27
1970,0,0,A27
1971,0,0,A27
1972,0,0,A27
1973,0,0,A27
1974,0,0,A27
1975,0,0,A27
1976,0,0,A27
1977,0,0,A27
1978,0,0,A27
1979,0,0,A27
1980,0,0,A27
1981,0,0,A27
1982,0,0,A27
1983,11995.694032,38.587829205458824,A27
1984,2541.267414423187,8.174766102867194,A27
1985,14524.01584,46.72095179455463,A27
1986,16824.180872,54.120138132786565,A27
1987,22866.479904,73.55704627942185,A27
1988,31149.523416,100.20199633314958,A27
1989,28158.99136,90.5820327109916,A27
1990,33168.915,106.69798875630255,A27
1991,27460.45968,88.33499130675632,A27
1992,43771.628,140.8048672134454,A27
1993,27648.70036,88.94052519166388,A27
1994,26101.538945999513,83.96360595402199,A27
1995,41976.29181313795,135.02961769806058,A27
1996,29282.73245825089,94.19689063040708,A27
1997,21348.359056805388,68.6735449323118,A27
1998,21643.595871999998,69.62326470421513,A27
1999,21611.39084,69.51966734077311,A27
2000,15010.266464,48.285126070749584,A27
2001,17612.97736,56.6575439782185,A27
2002,8607.815384,27.68967839491765,A27
2003,13157.343144,42.32462987834622,A27
2004,20638.889592,66.3913187883832,A27
2005,22441.4642,72.18985290554623,A27
2006,19541.650544,62.86171284237984,A27
2007,23900.216072,76.8823757341311,A27
2008,18729.267272,60.248432871610106,A27
2009,19198.2814,61.75716067159665,A27
2010,8228.612472,26.46985591833278,A27
2011,14749.451063999999,47.446133338648735,A27
2012,14038.218808,45.158236636154626,A27
2013,6807.962328,21.89989898452437,A27
2014,4376.255616,14.077568485754625,A27
2015,0,0,A27
2016,0,0,A27
2017,0,0,A27
